"","V1"
"Lepisosteus_oculatus",0.517419613215012
"Scleropages_formosus",0.363244387579316
"Poecilia_reticulata",0.0351494735658623
"Oryzias_latipes",0.03514947356586
"Pseudambassis_ranga",0.0309563665042937
"Gouania_willdenowi",0.0259512971409394
"Salarias_fasciatus",0.0259512971409378
"Maylandia_zebra",0.0206508221546728
"Oreochromis_tanganicae",0.020650822154659
"Betta_splendens",0.0223272449990072
"Scophthalmus_maximus",0.0144343828200837
"Cynoglossus_lingua",0.0144343828200813
"Echeneis_naucrates",0.0175205968655002
"Cottoperca_gobio",0.0282605498938535
"Larimichthys_crocea",0.0282605498938542
"Takifugu_rubripes",0.0168718005306423
"Tetraodon_nigroviridis",0.0168718005306449
"Sparus_aurata",0.024198826882356
"Sphaeramia_orbicularis",0.0282605498938557
"Myripristis_murdjan",0.0603005318499071
"Esox_lucius",0.130426623046162
"Salmo_salar",0.044384960635008
"Salmo_trutta",0.0443849606350016
"Oncorhynchus_mykiss",0.0762361185322496
"Ictalurus_punctatus",0.127195626120745
"Hollandichthys_multifasciatus",0.127195626120743
"Danio_rerio",0.101721500623094
"Cyprinus_carpio",0.101721500623095
"Clupea_harengus",0.17875598849111
"Denticeps_clupeoides",0.17875598849111
"Erpetoichthys_calabaricus",0.711325779235586
"Xenopus_tropicalis",0.63071907061929
"Anolis_carolinensis",0.476016799913875
"Coturnix_japonica",0.0714069363649299
"Meleagris_gallopavo",0.0643218763246314
"Gallus_gallus",0.0643218763246416
"Anas_platyrhynchos",0.129920352342674
"Ara_ararauna",0.127477711143135
"Taeniopygia_guttata",0.127477711143139
"Aquila_chrysaetos",0.127905600360945
"Monodelphis_domestica",0.231034441214516
"Lynx_canadensis",0.0172340695579508
"Felis_catus",0.0172340695579433
"Canis_lupus",0.0308935651583646
"Equus_caballus",0.0405587135797201
"Camelus_dromedarius",0.0305522515529976
"Bos_taurus",0.00897793584120843
"Bos_grunniens",0.00897793584117038
"Capra_hircus",0.0102250470964523
"Ovis_aries",0.0102250470964529
"Sus_scrofa",0.0293172864486561
"Rhinolophus_ferrumequinum",0.0425951720523619
"Oryctolagus_cuniculus",0.0582647322918205
"Rattus_norvegicus",0.0165552727194206
"Mus_musculus",0.00420656849077626
"Mus_spretus",0.00420656849082789
"Mus_caroli",0.00664379475617306
"Mus_pahari",0.00754970415671115
"Microtus_ochrogaster",0.0219978936689769
"Peromyscus_maniculatus",0.0219978936689808
"Microcebus_murinus",0.0526377110066279
"Papio_anubis",0.00606583545539629
"Theropithecus_gelada",0.00606583545541309
"Macaca_mulatta",0.00961963119673433
"Chlorocebus_sabaeus",0.0107572978380365
"Nomascus_leucogenys",0.0144763053307078
"Gorilla_gorilla",0.00703231341565219
"Pan_troglodytes",0.00319436509855564
"Homo_sapiens",0.00616020008366571
"Pongo_abelii",0.0109449642509187
"Ornithorhynchus_anatinus",0.274729866751909
